datetime,consumption_kWh
14-10-2022,"22,333.42"
15-10-2022,"22,123.76"
16-10-2022,"22,685.21"
17-10-2022,"19,533.85"
18-10-2022,"19,104.09"
19-10-2022,"19,481.61"
20-10-2022,"20,509.93"
21-10-2022,"21,362.12"
22-10-2022,"21,213.26"
23-10-2022,"21,731.66"
24-10-2022,"20,392.26"
25-10-2022,"20,520.06"
26-10-2022,"18,962.50"
27-10-2022,"21,795.79"
28-10-2022,"21,490.57"
29-10-2022,"22,385.16"
30-10-2022,"23,283.42"
31-10-2022,"20,447.43"
01-11-2022,"19,643.90"
02-11-2022,"20,906.10"
03-11-2022,"20,602.07"
04-11-2022,"21,825.29"
05-11-2022,"22,073.92"
06-11-2022,"24,941.39"
07-11-2022,"18,724.72"
08-11-2022,"21,618.44"
09-11-2022,"18,644.03"
10-11-2022,"20,294.64"
11-11-2022,"21,434.99"
12-11-2022,"22,926.78"
13-11-2022,"24,307.52"
14-11-2022,"20,405.39"
15-11-2022,"19,080.37"
16-11-2022,"21,362.76"
17-11-2022,"19,481.29"
18-11-2022,"22,225.78"
19-11-2022,"24,991.32"
20-11-2022,"22,675.80"
21-11-2022,"20,046.17"
22-11-2022,"19,125.98"
23-11-2022,"19,539.32"
24-11-2022,"18,967.73"
25-11-2022,"22,158.22"
26-11-2022,"23,548.91"
27-11-2022,"23,799.04"
28-11-2022,"19,735.83"
29-11-2022,"19,994.57"
30-11-2022,"21,904.09"
01-12-2022,"22,172.48"
02-12-2022,"22,074.29"
03-12-2022,"24,059.75"
04-12-2022,"22,308.21"
05-12-2022,"21,071.85"
06-12-2022,"20,750.84"
07-12-2022,"20,175.44"
08-12-2022,"20,718.92"
09-12-2022,"21,021.17"
10-12-2022,"24,987.10"
11-12-2022,"25,243.11"
12-12-2022,"20,442.58"
13-12-2022,"21,588.14"
14-12-2022,"20,475.60"
15-12-2022,"21,805.48"
16-12-2022,"21,414.85"
17-12-2022,"23,307.10"
18-12-2022,"23,482.25"
19-12-2022,"21,197.75"
20-12-2022,"22,353.47"
21-12-2022,"20,571.09"
22-12-2022,"22,368.57"
23-12-2022,"23,331.05"
24-12-2022,"23,674.56"
25-12-2022,"32,618.04"
26-12-2022,"26,820.21"
27-12-2022,"21,191.78"
28-12-2022,"20,247.80"
29-12-2022,"23,577.71"
30-12-2022,"23,328.39"
31-12-2022,"25,962.90"
01-01-2023,"37,286.21"
02-01-2023,"24,696.11"
03-01-2023,"24,370.01"
04-01-2023,"24,668.29"
05-01-2023,"24,242.39"
06-01-2023,"28,291.95"
07-01-2023,"29,118.81"
08-01-2023,"27,426.38"
09-01-2023,"23,652.19"
10-01-2023,"26,388.63"
11-01-2023,"25,900.31"
12-01-2023,"25,710.60"
13-01-2023,"28,515.50"
14-01-2023,"30,701.24"
15-01-2023,"28,626.86"
16-01-2023,"26,274.88"
17-01-2023,"25,061.77"
18-01-2023,"26,974.87"
19-01-2023,"27,277.20"
20-01-2023,"27,034.76"
21-01-2023,"28,880.54"
22-01-2023,"29,837.48"
23-01-2023,"26,693.86"
24-01-2023,"27,900.53"
25-01-2023,"24,892.79"
26-01-2023,"23,442.88"
27-01-2023,"27,992.12"
28-01-2023,"31,326.60"
29-01-2023,"30,167.63"
30-01-2023,"26,378.48"
31-01-2023,"28,155.89"
01-02-2023,"25,906.27"
02-02-2023,"26,796.49"
03-02-2023,"28,840.63"
04-02-2023,"30,071.49"
05-02-2023,"29,876.60"
06-02-2023,"27,682.84"
07-02-2023,"28,929.32"
08-02-2023,"27,990.61"
09-02-2023,"26,009.92"
10-02-2023,"32,346.24"
11-02-2023,"31,835.89"
12-02-2023,"34,456.71"
13-02-2023,"27,987.52"
14-02-2023,"28,452.45"
15-02-2023,"27,543.47"
16-02-2023,"28,340.85"
17-02-2023,"29,890.01"
18-02-2023,"29,883.89"
19-02-2023,"31,234.06"
20-02-2023,"28,274.78"
21-02-2023,"27,991.70"
22-02-2023,"28,368.92"
23-02-2023,"28,535.07"
